country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,new_confirmed_cases,new_probable_cases,new_susp,new_suspdeath,total_susp,total_suspdeath,clade1,clade2,clade1a,clade1b,clade_status,disp_status,total_deaths,new_deaths
Benin,BEN,African Region,25/02/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,03/03/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,10/03/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,17/03/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,24/03/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,31/03/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,07/04/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,14/04/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,21/04/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,28/04/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,05/05/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,12/05/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,19/05/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,26/05/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,02/06/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,09/06/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,16/06/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,23/06/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,30/06/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,07/07/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,14/07/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,21/07/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,28/07/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,04/08/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,11/08/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,18/08/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,25/08/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,01/09/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,08/09/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,15/09/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,22/09/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,29/09/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,06/10/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,13/10/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,20/10/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,27/10/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,03/11/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,10/11/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,17/11/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,24/11/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,01/12/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,07/12/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,15/12/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,22/12/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benin,BEN,African Region,29/12/2024,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,21/07/2024,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,28/07/2024,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,04/08/2024,40,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,11/08/2024,83,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,18/08/2024,153,0,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,25/08/2024,231,0,78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,01/09/2024,328,0,97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,08/09/2024,385,0,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,15/09/2024,564,0,179,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,22/09/2024,696,0,132,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,29/09/2024,853,0,157,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,06/10/2024,987,0,134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,13/10/2024,1170,0,183,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,20/10/2024,1287,0,117,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,27/10/2024,1509,0,222,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,03/11/2024,1718,0,209,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,10/11/2024,1863,0,145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Burundi,BDI,African Region,17/11/2024,2050,0,187,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Burundi,BDI,African Region,24/11/2024,2237,0,187,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Burundi,BDI,African Region,01/12/2024,2402,0,165,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Burundi,BDI,African Region,08/12/2024,2546,0,144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Burundi,BDI,African Region,15/12/2024,2717,0,171,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Burundi,BDI,African Region,22/12/2024,2861,0,144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Burundi,BDI,African Region,29/12/2024,2946,0,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,09/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,16/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,23/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,30/01/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,06/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,13/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,20/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,27/02/2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,06/03/2022,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cameroon,CMR,African Region,13/03/2022,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Cameroon,CMR,African Region,20/03/2022,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,27/03/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,03/04/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,10/04/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,17/04/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,24/04/2022,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,01/05/2022,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,08/05/2022,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,15/05/2022,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,22/05/2022,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,29/05/2022,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,05/06/2022,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,12/06/2022,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,19/06/2022,6,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,26/06/2022,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,03/07/2022,8,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,10/07/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,17/07/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,24/07/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Cameroon,CMR,African Region,31/07/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
